resolution,viewport,frequency
1024,930,5
1024,932,3
1024,935,2
1024,937,1
1024,938,1
1024,939,2
1024,942,3
1024,945,1
1024,947,1
1024,948,1
1024,952,2
1024,954,1
1024,955,3
1024,956,5
1024,957,2
1024,959,13
1024,961,2
1024,962,6
1024,963,2
1024,964,1
1024,965,1
1024,966,2
1024,967,5
1024,968,1
1024,969,2
1024,971,2
1024,972,4
1024,973,3
1024,974,10
1024,975,6
1024,976,2
1024,977,2
1024,978,8
1024,979,2
1024,980,6
1024,981,4
1024,982,4
1024,983,3
1024,984,9
1024,985,3
1024,986,25
1024,987,17
1024,988,18
1024,989,5
1024,990,13
1024,991,11
1024,992,9
1024,993,15
1024,994,78
1024,995,50
1024,996,25
1024,997,5
1024,998,7
1024,999,12
1024,1000,4
1024,1001,26
1024,1002,14
1024,1003,1378
1024,1004,348
1024,1005,14
1024,1006,18
1024,1007,78
1024,1008,48
1024,1009,4
1024,1010,14
1024,1011,5
1024,1012,14
1024,1013,17
1024,1014,40
1024,1015,13
1024,1016,93
1024,1017,8
1024,1018,6
1024,1019,2
1024,1020,5
1024,1021,2
1024,1022,8
1024,1023,6
1024,1024,5737
1024,1025,6
1024,1026,29
1024,1028,1
1024,1029,1
1024,1031,2
1024,1034,1
1024,1040,4
1024,1042,1
1024,1046,1
1024,1048,1
1024,1066,2
1024,1090,1
1024,1137,7
1024,1154,1
1024,1228,2
1024,1365,1
1280,213,1
1280,391,1
1280,392,1
1280,418,1
1280,518,1
1280,546,1
1280,558,1
1280,571,1
1280,609,2
1280,624,1
1280,630,1
1280,640,1
1280,642,1
1280,647,1
1280,649,1
1280,651,1
1280,656,3
1280,672,1
1280,675,2
1280,685,1
1280,691,1
1280,695,1
1280,696,1
1280,708,1
1280,711,1
1280,717,3
1280,726,2
1280,730,1
1280,735,1
1280,739,1
1280,740,1
1280,757,1
1280,761,1
1280,763,9
1280,765,2
1280,767,1
1280,768,1
1280,769,1
1280,770,1
1280,771,10
1280,772,1
1280,774,1
1280,776,2
1280,784,8
1280,792,2
1280,794,1
1280,796,1
1280,799,1
1280,805,1
1280,807,1
1280,810,1
1280,811,1
1280,813,1
1280,816,1
1280,819,1
1280,824,1
1280,825,1
1280,828,1
1280,830,2
1280,836,1
1280,840,1
1280,855,1
1280,863,3
1280,880,1
1280,884,1
1280,909,2
1280,913,1
1280,922,1
1280,935,1
1280,944,1
1280,947,1
1280,948,2
1280,950,2
1280,952,1
1280,953,1
1280,956,1
1280,957,2
1280,958,2
1280,959,2
1280,960,1
1280,961,1
1280,972,2
1280,974,1
1280,976,1
1280,978,2
1280,979,4
1280,980,52
1280,981,1
1280,983,4
1280,984,1
1280,988,1
1280,989,3
1280,992,2
1280,994,3
1280,996,1
1280,1000,1
1280,1004,1
1280,1005,1
1280,1006,2
1280,1007,1
1280,1009,2
1280,1011,2
1280,1013,3
1280,1014,1
1280,1015,1
1280,1016,2
1280,1018,3
1280,1022,1
1280,1023,3
1280,1024,27
1280,1025,3
1280,1027,1
1280,1028,2
1280,1029,3
1280,1033,1
1280,1034,7
1280,1038,1
1280,1040,20
1280,1041,1
1280,1042,1
1280,1045,1
1280,1047,3
1280,1048,2
1280,1049,1
1280,1050,8
1280,1053,1
1280,1056,1
1280,1057,1
1280,1062,4
1280,1064,1
1280,1066,1
1280,1067,1
1280,1071,3
1280,1073,1
1280,1074,2
1280,1075,1
1280,1077,2
1280,1079,1
1280,1081,1
1280,1086,1
1280,1087,2
1280,1088,1
1280,1089,1
1280,1091,1
1280,1092,1
1280,1095,1
1280,1096,1
1280,1100,1
1280,1101,2
1280,1103,1
1280,1104,3
1280,1105,1
1280,1106,1
1280,1108,4
1280,1112,1
1280,1114,1
1280,1117,2
1280,1120,4
