resolution,viewport,frequency
1366,878,1
1366,882,1
1366,889,1
1366,892,1
1366,922,1
1366,941,1
1366,946,1
1366,958,3
1366,970,1
1366,977,1
1366,978,1
1366,1000,2
1366,1001,1
1366,1005,1
1366,1007,2
1366,1011,1
1366,1012,1
1366,1014,1
1366,1016,1
1366,1020,1
1366,1021,1
1366,1024,5
1366,1026,2
1366,1030,1
1366,1031,1
1366,1032,1
1366,1034,9
1366,1035,1
1366,1036,3
1366,1037,7
1366,1038,2
1366,1040,2
1366,1042,1
1366,1043,4
1366,1044,10
1366,1045,1
1366,1046,1
1366,1052,1
1366,1055,1
1366,1056,2
1366,1057,1
1366,1062,2
1366,1066,7
1366,1072,2
1366,1073,1
1366,1074,2
1366,1075,1
1366,1076,2
1366,1077,1
1366,1078,1
1366,1079,1
1366,1081,1
1366,1084,1
1366,1085,2
1366,1087,1
1366,1088,1
1366,1091,3
1366,1092,2
1366,1095,1
1366,1096,2
1366,1100,1
1366,1102,2
1366,1103,1
1366,1104,4
1366,1111,1
1366,1113,1
1366,1121,1
1366,1123,1
1366,1124,1
1366,1125,1
1366,1127,2
1366,1128,5
1366,1132,1
1366,1134,1
1366,1137,1
1366,1141,3
1366,1142,1
1366,1145,2
1366,1146,2
1366,1147,1
1366,1148,1
1366,1150,3
1366,1151,1
1366,1152,1
1366,1153,2
1366,1154,1
1366,1155,1
1366,1156,1
1366,1160,1
1366,1162,1
1366,1169,1
1366,1171,2
1366,1173,3
1366,1175,1
1366,1178,1
1366,1179,2
1366,1180,2
1366,1182,1
1366,1183,1
1366,1185,2
1366,1188,2
1366,1190,1
1366,1191,2
1366,1192,1
1366,1193,1
1366,1195,1
1366,1197,1
1366,1198,3
1366,1200,1
1366,1202,2
1366,1204,1
1366,1205,2
1366,1207,1
1366,1208,2
1366,1212,1
1366,1213,2
1366,1214,1
1366,1215,1
1366,1218,1
1366,1221,1
1366,1223,1
1366,1225,1
1366,1229,1
1366,1230,1
1366,1231,1
1366,1237,1
1366,1238,1
1366,1239,2
1366,1240,1
1366,1241,3
1366,1242,1
1366,1243,3
1366,1247,4
1366,1248,4
1366,1249,1
1366,1251,1
1366,1252,1
1366,1256,1
1366,1257,1
1366,1260,3
1366,1261,1
1366,1263,1
1366,1264,3
1366,1266,2
1366,1267,2
1366,1270,3
1366,1274,2
1366,1275,1
1366,1277,1
1366,1278,2
1366,1279,4
1366,1280,1
1366,1282,3
1366,1284,2
1366,1285,3
1366,1288,2
1366,1290,1
1366,1292,4
1366,1293,2
1366,1296,1
1366,1298,5
1366,1299,3
1366,1300,2
1366,1301,6
1366,1302,5
1366,1303,2
1366,1304,11
1366,1305,1
1366,1306,1
1366,1307,2
1366,1308,2
1366,1309,2
1366,1312,1
1366,1314,1
1366,1316,1
1366,1317,1
1366,1318,4
1366,1319,6
1366,1320,3
1366,1324,3
1366,1325,2
1366,1326,1
1366,1328,4
1366,1329,7
1366,1330,5
1366,1331,3
1366,1332,1
1366,1333,7
1366,1335,1
1366,1336,3
1366,1337,5
1366,1338,7
1366,1339,2
1366,1340,2
1366,1341,12
1366,1342,5
1366,1343,1
1366,1344,3
1366,1345,253
1366,1346,17
1366,1347,2
1366,1348,24
1366,1349,8
1366,1350,19
1366,1351,4
1366,1352,22
1366,1353,2
1366,1354,5
1366,1356,1
1366,1357,1
1366,1358,1
1366,1359,1
1366,1360,2
1366,1362,1
1366,1364,5
1366,1365,1
1366,1366,2922
1366,1370,1
1366,1434,1
1366,1440,1
1366,1454,1
1366,1517,3
1366,1639,2
1366,1680,1
1366,1821,1
1024,419,1
1024,476,1
1024,483,1
1024,571,2
1024,588,1
1024,591,1
1024,604,2
1024,617,2
1024,618,1
1024,640,1
1024,644,1
1024,696,1
1024,716,1
1024,720,1
1024,723,1
1024,724,5
1024,727,1
1024,731,1
1024,740,3
1024,744,1
1024,748,1
1024,749,1
1024,753,1
1024,754,1
1024,758,2
1024,763,4
1024,764,2
1024,766,1
1024,768,1
1024,771,12
1024,772,6
1024,778,1
1024,784,2
1024,785,1
1024,791,1
1024,799,1
1024,804,1
1024,808,1
1024,812,1
1024,814,1
1024,815,1
1024,821,1
1024,823,1
1024,831,1
1024,833,2
1024,836,1
1024,837,2
1024,842,1
1024,843,1
1024,848,2
1024,850,1
1024,853,1
1024,854,1
1024,855,2
1024,857,2
1024,860,1
1024,863,1
1024,864,3
1024,866,1
1024,868,1
1024,875,2
1024,876,1
1024,880,1
1024,882,1
1024,893,1
1024,897,1
1024,902,1
1024,904,1
1024,906,1
1024,907,1
1024,908,1
1024,911,1
1024,913,1
1024,922,2
1024,923,1
1024,924,1
1024,927,4
1024,930,1
1024,932,1
1024,934,2
1024,936,5
1024,937,1
1024,938,1
1024,939,1
1024,940,1
1024,941,4
1024,945,1
1024,946,2
1024,947,1
1024,948,2
1024,949,2
1024,951,2
1024,952,2
1024,953,2
1024,954,1
1024,955,2
1024,956,2
1024,957,1
1024,958,1
1024,959,7
1024,960,2
1024,961,3
1024,963,3
1024,966,1
1024,968,1
1024,969,3
1024,971,3
1024,972,3
1024,973,2
1024,974,3
1024,975,4
1024,977,1
1024,978,3
1024,979,4
1024,980,6
1024,981,1
1024,982,6
1024,983,5
1024,984,6
1024,985,7
1024,986,14
1024,987,12
1024,988,14
1024,989,10
1024,990,6
1024,991,7
1024,992,14
1024,993,15
1024,994,59
1024,995,77
1024,996,13
1024,997,4
1024,998,6
1024,999,19
1024,1000,8
1024,1001,24
1024,1002,8
1024,1003,634
1024,1004,142
1024,1005,14
1024,1006,14
1024,1007,63
1024,1008,27
1024,1009,3
1024,1010,6
1024,1011,5
1024,1012,3
1024,1013,9
1024,1014,17
1024,1015,3
1024,1016,47
1024,1017,2
1024,1018,2
1024,1019,1
1024,1020,9
1024,1021,1
1024,1022,4
1024,1023,1
1024,1024,1686
1024,1025,2
1024,1026,5
1024,1034,2
1024,1040,30
1024,1058,1
1024,1117,1
1024,1228,4
1600,624,1
1600,783,1
1600,784,2
1600,817,1
1600,860,1
1600,892,1
1600,903,1
1600,921,1
1600,943,1
1600,958,1
1600,963,3
1600,971,1
1600,983,2
1600,984,8
1600,990,1
1600,993,2
1600,995,1
1600,1006,1
1600,1013,1
1600,1022,1
1600,1023,1
1600,1024,2
1600,1031,1
1600,1034,9
1600,1040,1
1600,1042,1
1600,1050,1
1600,1052,2
1600,1057,1
1600,1062,2
1600,1064,1
1600,1066,4
1600,1081,1
1600,1095,1
1600,1111,1
1600,1113,1
1600,1124,1
1600,1129,2
1600,1149,1
1600,1152,1
1600,1154,1
1600,1164,1
1600,1168,1
1600,1170,1
1600,1173,1
1600,1179,2
1600,1182,2
1600,1185,1
1600,1203,2
1600,1209,3
1600,1212,2
1600,1215,4
1600,1217,1
1600,1224,3
1600,1230,2
1600,1235,1
1600,1245,2
1600,1246,2
1600,1252,1
1600,1264,1
1600,1271,1
1600,1275,1
1600,1278,1
1600,1280,2
1600,1283,1
1600,1288,1
1600,1289,2
1600,1291,3
1600,1296,1
1600,1300,5
1600,1302,2
1600,1304,1
1600,1305,2
1600,1306,3
1600,1309,6
1600,1315,1
1600,1322,1
1600,1323,1
1600,1328,4
1600,1329,2
1600,1333,1
1600,1336,3
1600,1338,1
1600,1339,1
1600,1340,1
1600,1343,1
1600,1344,1
1600,1353,1
1600,1354,1
1600,1359,1
1600,1360,3
1600,1363,1
1600,1365,1
1600,1366,2
1600,1367,4
1600,1369,1
1600,1374,1
1600,1375,1
1600,1377,1
1600,1381,5
1600,1382,1
1600,1383,6
1600,1384,4
1600,1385,3
1600,1386,1
1600,1388,1
1600,1390,3
1600,1399,1
1600,1400,1
1600,1401,1
1600,1403,1
1600,1404,1
1600,1406,1
1600,1407,1
1600,1409,2
1600,1410,1
1600,1416,1
1600,1417,1
1600,1418,1
1600,1420,1
1600,1421,1
1600,1422,4
1600,1423,1
1600,1424,1
1600,1429,1
1600,1430,1
1600,1431,1
1600,1432,10
1600,1433,1
1600,1434,1
1600,1437,1
1600,1440,1
1600,1441,1
1600,1443,1
1600,1444,1
1600,1448,1
1600,1454,3
1600,1456,2
1600,1462,1
1600,1464,1
1600,1471,1
1600,1474,1
1600,1477,1
1600,1479,1
1600,1480,1
1600,1488,1
1600,1491,1
1600,1492,1
1600,1499,1
1600,1501,3
1600,1508,1
1600,1509,1
1600,1510,1
1600,1512,2
1600,1513,2
1600,1515,1
1600,1516,2
1600,1520,2
1600,1521,1
1600,1524,3
1600,1526,5
1600,1528,3
1600,1529,3
1600,1530,1
1600,1532,2
1600,1534,1
1600,1537,1
1600,1538,10
1600,1539,6
1600,1540,6
1600,1541,1
1600,1546,1
1600,1548,1
1600,1550,2
1600,1551,19
1600,1553,1
1600,1556,3
1600,1558,1
1600,1562,2
1600,1563,9
1600,1564,2
1600,1565,3
1600,1566,2
1600,1567,6
1600,1568,2
1600,1569,2
1600,1571,4
1600,1572,1
1600,1575,16
1600,1576,3
1600,1577,4
1600,1578,2
1600,1579,161
1600,1580,12
1600,1581,4
1600,1582,23
1600,1583,2
1600,1584,15
1600,1586,15
1600,1587,1
1600,1588,1
1600,1589,1
1600,1590,3
1600,1591,1
1600,1592,1
1600,1598,2
1600,1599,4
1600,1600,2130
1600,1604,1
1600,1632,1
1600,1777,5
1600,2133,1
1440,594,1
1440,673,1
1440,714,2
1440,763,1
1440,770,3
1440,771,1
1440,772,1
1440,784,1
1440,788,1
1440,864,1
1440,867,1
1440,873,1
1440,884,2
1440,911,1
1440,936,1
1440,969,1
1440,987,1
1440,989,1
1440,994,1
1440,995,4
1440,997,1
1440,1010,1
1440,1012,1
1440,1014,1
1440,1017,1
1440,1021,1
1440,1024,14
1440,1026,3
1440,1027,1
1440,1028,3
1440,1029,1
1440,1034,7
1440,1035,3
1440,1038,1
1440,1039,1
1440,1040,6
