resolution,viewport,frequency
1280,996,2
1280,997,1
1280,998,1
1280,999,1
1280,1000,1
1280,1003,1
1280,1004,2
1280,1005,1
1280,1006,1
1280,1007,1
1280,1008,1
1280,1010,1
1280,1012,2
1280,1013,1
1280,1015,1
1280,1020,2
1280,1023,1
1280,1024,49
1280,1025,2
1280,1026,1
1280,1028,1
1280,1030,1
1280,1032,1
1280,1034,7
1280,1035,1
1280,1036,1
1280,1037,5
1280,1039,1
1280,1040,5
1280,1042,1
1280,1043,1
1280,1046,2
1280,1048,1
1280,1050,4
1280,1052,4
1280,1054,1
1280,1055,6
1280,1056,1
1280,1057,2
1280,1058,2
1280,1059,1
1280,1062,1
1280,1065,1
1280,1066,3
1280,1067,1
1280,1068,2
1280,1071,1
1280,1072,2
1280,1074,1
1280,1075,2
1280,1076,1
1280,1077,2
1280,1080,5
1280,1082,1
1280,1083,1
1280,1085,1
1280,1086,2
1280,1088,1
1280,1092,1
1280,1094,3
1280,1095,2
1280,1096,1
1280,1098,1
1280,1099,2
1280,1100,1
1280,1101,1
1280,1103,2
1280,1104,2
1280,1105,1
1280,1108,1
1280,1109,1
1280,1111,3
1280,1112,1
1280,1115,2
1280,1118,2
1280,1121,2
1280,1122,2
1280,1123,1
1280,1124,2
1280,1126,2
1280,1127,2
1280,1128,2
1280,1131,4
1280,1132,1
1280,1133,1
1280,1134,2
1280,1135,4
1280,1136,1
1280,1138,1
1280,1142,2
1280,1147,1
1280,1150,4
1280,1151,1
1280,1152,2
1280,1153,1
1280,1154,4
1280,1156,2
1280,1157,7
1280,1158,1
1280,1159,2
1280,1161,1
1280,1162,1
1280,1163,5
1280,1164,1
1280,1166,2
1280,1168,1
1280,1173,2
1280,1174,1
1280,1175,1
1280,1176,3
1280,1178,2
1280,1179,3
1280,1180,2
1280,1181,1
1280,1182,2
1280,1183,1
1280,1184,1
1280,1185,3
1280,1186,2
1280,1187,2
1280,1189,1
1280,1190,4
1280,1191,1
1280,1192,2
1280,1194,3
1280,1196,1
1280,1197,1
1280,1198,2
1280,1200,10
1280,1201,1
1280,1202,1
1280,1203,1
1280,1204,1
1280,1205,1
1280,1206,3
1280,1207,4
1280,1208,2
1280,1209,8
1280,1210,3
1280,1211,6
1280,1212,13
1280,1213,2
1280,1214,2
1280,1215,5
1280,1216,1
1280,1217,4
1280,1218,8
1280,1219,2
1280,1220,4
1280,1221,3
1280,1222,2
1280,1223,6
1280,1224,6
1280,1225,6
1280,1226,3
1280,1227,1
1280,1228,4
1280,1229,7
1280,1230,6
1280,1231,1
1280,1232,2
1280,1233,4
1280,1234,2
1280,1235,5
1280,1236,4
1280,1237,1
1280,1238,6
1280,1239,4
1280,1240,11
1280,1241,2
1280,1242,1
1280,1243,2
1280,1244,2
1280,1245,3
1280,1246,2
1280,1247,7
1280,1248,3
1280,1249,9
1280,1250,6
1280,1251,14
1280,1252,5
1280,1253,4
1280,1254,2
1280,1255,23
1280,1256,6
1280,1257,27
1280,1258,25
1280,1259,391
1280,1260,65
1280,1261,6
1280,1262,7
1280,1263,13
1280,1264,7
1280,1265,5
1280,1266,26
1280,1267,11
1280,1268,2
1280,1269,6
1280,1270,9
1280,1271,11
1280,1272,12
1280,1273,7
1280,1274,6
1280,1275,5
1280,1276,25
1280,1277,11
1280,1278,7
1280,1279,19
1280,1280,1348
1280,1281,1
1280,1283,1
1280,1284,1
1280,1289,2
1280,1419,1
1280,1422,1
1280,1536,2
1280,1920,1
768,424,1
768,429,1
768,453,1
768,456,1
768,480,4
768,481,3
768,577,1
768,591,1
768,594,2
768,603,2
768,623,3
768,626,1
768,634,1
768,637,1
768,638,1
768,640,13
768,641,1
768,657,1
768,671,1
768,696,2
768,699,1
768,702,1
768,734,1
768,736,1
768,742,7
768,750,1
768,755,1
768,762,1
768,768,1
768,786,1
768,792,1
768,824,1
768,833,1
768,841,1
768,890,1
768,948,1
768,964,1
768,969,1
768,972,1
768,974,1
768,977,1
768,980,711
768,981,1646
768,1024,3
1920,782,1
1920,797,1
1920,820,1
1920,866,1
1920,902,1
1920,910,1
1920,912,1
1920,921,1
1920,929,1
1920,940,1
1920,945,1
1920,951,2
1920,963,1
1920,968,1
1920,984,4
1920,991,1
1920,992,1
1920,1000,1
1920,1006,1
1920,1013,1
1920,1024,8
1920,1038,1
1920,1052,1
1920,1055,1
1920,1057,1
1920,1067,1
1920,1088,2
1920,1090,1
1920,1094,1
1920,1097,3
1920,1098,1
1920,1101,1
1920,1105,1
1920,1106,1
1920,1110,1
1920,1111,1
1920,1112,1
1920,1113,1
1920,1115,1
1920,1118,1
1920,1121,1
1920,1122,1
1920,1123,2
1920,1128,2
1920,1129,1
1920,1135,1
1920,1136,2
1920,1141,1
1920,1143,1
1920,1146,2
1920,1152,2
1920,1157,1
1920,1163,4
1920,1181,1
1920,1184,3
1920,1186,1
1920,1188,1
1920,1189,1
1920,1191,1
1920,1192,1
1920,1194,1
1920,1195,1
1920,1196,1
1920,1213,1
1920,1216,1
1920,1218,1
1920,1222,2
1920,1223,1
1920,1227,1
1920,1233,3
1920,1234,1
1920,1239,1
1920,1247,1
1920,1256,1
1920,1257,2
1920,1260,1
1920,1270,3
1920,1272,1
1920,1277,1
1920,1280,1
1920,1286,1
1920,1291,2
1920,1296,3
1920,1297,1
1920,1301,1
1920,1304,2
1920,1322,1
1920,1329,1
1920,1332,1
1920,1336,3
1920,1337,1
1920,1338,1
1920,1346,1
1920,1351,1
1920,1372,1
1920,1374,1
1920,1378,1
1920,1411,1
1920,1426,3
1920,1432,1
1920,1433,3
1920,1434,1
1920,1436,1
1920,1439,2
1920,1444,1
1920,1448,1
1920,1449,1
1920,1455,1
1920,1460,1
1920,1461,2
1920,1466,1
1920,1467,3
1920,1469,4
1920,1473,1
1920,1477,1
1920,1480,3
1920,1491,2
1920,1493,3
1920,1497,1
1920,1517,1
1920,1518,4
1920,1520,2
1920,1524,3
1920,1525,1
1920,1534,1
1920,1536,1
1920,1541,1
1920,1545,1
